"Products and product groups 3 4","April 2021","March 2022","April 2022","March 2022 to April 2022","April 2021 to April 2022"
,"2002=100",,,,
"Food 5","157.2","170.5","171.6","0.6","9.2"
"Food purchased from stores","155.2","169.9","170.4","0.3","9.8"
"Meat","174.7","189.4","191.4","1.1","9.6"
"Fresh or frozen meat (excluding poultry)","175.1","191.7","190.8","-0.5","9.0"
"Fresh or frozen beef","194.9","213.5","210.9","-1.2","8.2"
"Fresh or frozen pork","133.6","139.8","143.6","2.7","7.5"
"Fresh or frozen poultry","179.1","184.7","192.4","4.2","7.4"
"Fresh or frozen chicken","185.6","186.4","196.7","5.5","6.0"
"Processed meat","169.2","188.8","189.7","0.5","12.1"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","147.6","155.3","156.9","1.0","6.3"
"Fish","157.8","164.5","168.6","2.5","6.8"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","149.5","165.8","163.6","-1.3","9.4"
"Dairy products","145.6","162.9","159.4","-2.1","9.5"
"Fresh milk","142.5","155.9","156.3","0.3","9.7"
"Butter","164.2","189.9","188.4","-0.8","14.7"
"Cheese","148.5","169.1","161.7","-4.4","8.9"
"Ice cream and related products","..","..","..","...","..."
"Eggs","190.5","198.7","206.7","4.0","8.5"
"Bakery and cereal products (excluding baby food)","161.1","180.6","181.5","0.5","12.7"
"Bakery products","170.3","187.5","188.4","0.5","10.6"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","144.4","165.9","166.8","0.5","15.5"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","142.8","154.7","153.6","-0.7","7.6"
"Fresh fruit","137.6","148.3","148.5","0.1","7.9"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","147.4","166.7","158.0","-5.2","7.2"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","158.8","172.1","169.7","-1.4","6.9"
"Fresh vegetables","158.4","172.7","168.5","-2.4","6.4"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","161.6","172.0","175.2","1.9","8.4"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","142.1","156.5","159.3","1.8","12.1"
"Sugar and confectionery","146.4","151.3","154.5","2.1","5.5"
"Edible fats and oils","170.7","215.2","219.6","2.0","28.6"
"Coffee and tea","134.2","147.6","152.0","3.0","13.3"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","128.1","140.1","141.2","0.8","10.2"
"Food purchased from restaurants 5","162.2","171.9","174.6","1.6","7.6"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."
