"Products and product groups 3 4","July 2021","June 2022","July 2022","June 2022 to July 2022","July 2021 to July 2022"
,"2002=100",,,,
"Food 5","159.2","173.2","174.6","0.8","9.7"
"Food purchased from stores","157.2","172.2","173.4","0.7","10.3"
"Meat","180.1","193.1","193.0","-0.1","7.2"
"Fresh or frozen meat (excluding poultry)","180.5","194.0","195.6","0.8","8.4"
"Fresh or frozen beef","196.4","213.7","214.6","0.4","9.3"
"Fresh or frozen pork","140.5","143.1","146.6","2.4","4.3"
"Fresh or frozen poultry","184.7","197.3","185.2","-6.1","0.3"
"Fresh or frozen chicken","187.8","201.8","188.3","-6.7","0.3"
"Processed meat","174.6","187.6","194.5","3.7","11.4"
"Ham and bacon","..","..","..","...","..."
"Other processed meat","..","..","..","...","..."
"Fish, seafood and other marine products","148.8","164.7","162.7","-1.2","9.3"
"Fish","158.5","176.2","175.8","-0.2","10.9"
"Fresh or frozen fish (including portions and fish sticks)","..","..","..","...","..."
"Canned and other preserved fish","..","..","..","...","..."
"Dairy products and eggs","151.4","162.8","165.2","1.5","9.1"
"Dairy products","147.7","158.3","159.7","0.9","8.1"
"Fresh milk","142.9","156.1","156.8","0.4","9.7"
"Butter","164.3","192.5","187.9","-2.4","14.4"
"Cheese","151.7","160.8","158.2","-1.6","4.3"
"Ice cream and related products","..","..","..","...","..."
"Eggs","190.2","209.6","222.6","6.2","17.0"
"Bakery and cereal products (excluding baby food)","165.1","182.5","187.1","2.5","13.3"
"Bakery products","173.4","191.1","196.0","2.6","13.0"
"Bread, rolls and buns","..","..","..","...","..."
"Cookies and crackers","..","..","..","...","..."
"Other bakery products","..","..","..","...","..."
"Cereal products (excluding baby food)","149.4","165.5","169.8","2.6","13.7"
"Rice and rice-based mixes","..","..","..","...","..."
"Breakfast cereal and other cereal products (excluding baby food)","..","..","..","...","..."
"Pasta products","..","..","..","...","..."
"Flour and flour-based mixes","..","..","..","...","..."
"Fruit, fruit preparations and nuts","140.6","155.8","155.7","-0.1","10.7"
"Fresh fruit","133.6","151.8","150.9","-0.6","12.9"
"Apples","..","..","..","...","..."
"Oranges","..","..","..","...","..."
"Bananas","..","..","..","...","..."
"Other fresh fruit","..","..","..","...","..."
"Preserved fruit and fruit preparations","149.4","159.8","162.2","1.5","8.6"
"Fruit juices","..","..","..","...","..."
"Other preserved fruit and fruit preparations","..","..","..","...","..."
"Nuts and seeds","..","..","..","...","..."
"Vegetables and vegetable preparations","161.5","176.1","178.0","1.1","10.2"
"Fresh vegetables","162.0","175.5","176.8","0.7","9.1"
"Potatoes","..","..","..","...","..."
"Tomatoes","..","..","..","...","..."
"Lettuce","..","..","..","...","..."
"Other fresh vegetables","..","..","..","...","..."
"Preserved vegetables and vegetable preparations","161.3","179.7","183.4","2.1","13.7"
"Frozen and dried vegetables","..","..","..","...","..."
"Canned vegetables and other vegetable preparations","..","..","..","...","..."
"Other food products and non-alcoholic beverages","142.9","159.2","160.0","0.5","12.0"
"Sugar and confectionery","142.1","153.8","154.4","0.4","8.7"
"Edible fats and oils","179.7","229.3","236.9","3.3","31.8"
"Coffee and tea","136.0","155.0","156.4","0.9","15.0"
"Condiments, spices and vinegars","..","..","..","...","..."
"Other food preparations","..","..","..","...","..."
"Non-alcoholic beverages","128.4","139.3","139.9","0.4","9.0"
"Food purchased from restaurants 5","164.4","175.8","177.5","1.0","8.0"
"Food purchased from table-service restaurants 5","..","..","..","...","..."
"Food purchased from fast food and take-out restaurants 5","..","..","..","...","..."
